"URL","TAG","TEXT"
"https://pec.ac.in/faculty-affairs","a","Skip to main content"
"https://pec.ac.in/faculty-affairs","li","Alumni"
"https://pec.ac.in/faculty-affairs","a","Alumni"
"https://pec.ac.in/faculty-affairs","li","Webmail"
"https://pec.ac.in/faculty-affairs","a","Webmail"
"https://pec.ac.in/faculty-affairs","li","Jobs"
"https://pec.ac.in/faculty-affairs","a","Jobs"
"https://pec.ac.in/faculty-affairs","li","Tenders"
"https://pec.ac.in/faculty-affairs","a","Tenders"
"https://pec.ac.in/faculty-affairs","li","Office Orders"
"https://pec.ac.in/faculty-affairs","a","Office Orders"
"https://pec.ac.in/faculty-affairs","li","NIRF"
"https://pec.ac.in/faculty-affairs","a","NIRF"
"https://pec.ac.in/faculty-affairs","li","RTI"
"https://pec.ac.in/faculty-affairs","a","RTI"
"https://pec.ac.in/faculty-affairs","li","Placements"
"https://pec.ac.in/faculty-affairs","a","Placements"
"https://pec.ac.in/faculty-affairs","li","Contact Us"
"https://pec.ac.in/faculty-affairs","a","Contact Us"
"https://pec.ac.in/faculty-affairs","li","Search"
"https://pec.ac.in/faculty-affairs","li","Home"
"https://pec.ac.in/faculty-affairs","a","Home"
"https://pec.ac.in/faculty-affairs","li","Institute History Vision & Mission Campus Location News and Events Tenders & Quotations Balance Sheets Rules, Guidelines & Forms Faculty Affairs IQAC Reports"
"https://pec.ac.in/faculty-affairs","a","Institute"
"https://pec.ac.in/faculty-affairs","li","History"
"https://pec.ac.in/faculty-affairs","a","History"
"https://pec.ac.in/faculty-affairs","li","Vision & Mission"
"https://pec.ac.in/faculty-affairs","a","Vision & Mission"
"https://pec.ac.in/faculty-affairs","li","Campus"
"https://pec.ac.in/faculty-affairs","a","Campus"
"https://pec.ac.in/faculty-affairs","li","Location"
"https://pec.ac.in/faculty-affairs","a","Location"
"https://pec.ac.in/faculty-affairs","li","News and Events"
"https://pec.ac.in/faculty-affairs","a","News and Events"
"https://pec.ac.in/faculty-affairs","li","Tenders & Quotations"
"https://pec.ac.in/faculty-affairs","a","Tenders & Quotations"
"https://pec.ac.in/faculty-affairs","li","Balance Sheets"
"https://pec.ac.in/faculty-affairs","a","Balance Sheets"
"https://pec.ac.in/faculty-affairs","li","Rules, Guidelines & Forms"
"https://pec.ac.in/faculty-affairs","a","Rules, Guidelines & Forms"
"https://pec.ac.in/faculty-affairs","li","Faculty Affairs"
"https://pec.ac.in/faculty-affairs","a","Faculty Affairs"
"https://pec.ac.in/faculty-affairs","li","IQAC Reports"
"https://pec.ac.in/faculty-affairs","a","IQAC Reports"
"https://pec.ac.in/faculty-affairs","li","Administration Board Of Governors Chairman, Board of Governors Director Senate Members Building & Works Committee Finance Committee Grievance Redressal Committee Institute Functionaries Minutes of Meetings"
"https://pec.ac.in/faculty-affairs","a","Administration"
"https://pec.ac.in/faculty-affairs","li","Board Of Governors"
"https://pec.ac.in/faculty-affairs","a","Board Of Governors"
"https://pec.ac.in/faculty-affairs","li","Chairman, Board of Governors"
"https://pec.ac.in/faculty-affairs","a","Chairman, Board of Governors"
"https://pec.ac.in/faculty-affairs","li","Director"
"https://pec.ac.in/faculty-affairs","a","Director"
"https://pec.ac.in/faculty-affairs","li","Senate Members"
"https://pec.ac.in/faculty-affairs","a","Senate Members"
"https://pec.ac.in/faculty-affairs","li","Building & Works Committee"
"https://pec.ac.in/faculty-affairs","a","Building & Works Committee"
"https://pec.ac.in/faculty-affairs","li","Finance Committee"
"https://pec.ac.in/faculty-affairs","a","Finance Committee"
"https://pec.ac.in/faculty-affairs","li","Grievance Redressal Committee"
"https://pec.ac.in/faculty-affairs","a","Grievance Redressal Committee"
"https://pec.ac.in/faculty-affairs","li","Institute Functionaries"
"https://pec.ac.in/faculty-affairs","a","Institute Functionaries"
"https://pec.ac.in/faculty-affairs","li","Minutes of Meetings"
"https://pec.ac.in/faculty-affairs","a","Minutes of Meetings"
"https://pec.ac.in/faculty-affairs","li","Programmes Undergraduate Postgraduate Doctorate Academic Support for Students Accreditation Scholarships IQAC Reports E-Academic Portal"
"https://pec.ac.in/faculty-affairs","a","Programmes"
"https://pec.ac.in/faculty-affairs","li","Undergraduate"
"https://pec.ac.in/faculty-affairs","a","Undergraduate"
"https://pec.ac.in/faculty-affairs","li","Postgraduate"
"https://pec.ac.in/faculty-affairs","a","Postgraduate"
"https://pec.ac.in/faculty-affairs","li","Doctorate"
"https://pec.ac.in/faculty-affairs","a","Doctorate"
"https://pec.ac.in/faculty-affairs","li","Academic Support for Students"
"https://pec.ac.in/faculty-affairs","a","Academic Support for Students"
"https://pec.ac.in/faculty-affairs","li","Accreditation"
"https://pec.ac.in/faculty-affairs","a","Accreditation"
"https://pec.ac.in/faculty-affairs","li","Scholarships"
"https://pec.ac.in/faculty-affairs","a","Scholarships"
"https://pec.ac.in/faculty-affairs","li","IQAC Reports"
"https://pec.ac.in/faculty-affairs","a","IQAC Reports"
"https://pec.ac.in/faculty-affairs","li","E-Academic Portal"
"https://pec.ac.in/faculty-affairs","a","E-Academic Portal"
"https://pec.ac.in/faculty-affairs","li","Admissions"
"https://pec.ac.in/faculty-affairs","a","Admissions"
"https://pec.ac.in/faculty-affairs","li","Academic Units Departments Centres"
"https://pec.ac.in/faculty-affairs","a","Academic Units"
"https://pec.ac.in/faculty-affairs","li","Departments"
"https://pec.ac.in/faculty-affairs","a","Departments"
"https://pec.ac.in/faculty-affairs","li","Centres"
"https://pec.ac.in/faculty-affairs","a","Centres"
"https://pec.ac.in/faculty-affairs","li","Research Overview Research Groups Sponsored Research In-House Projects Consultancy Courses and Conferences Young Research Fellows Programme Norms and Forms Contacts"
"https://pec.ac.in/faculty-affairs","a","Research"
"https://pec.ac.in/faculty-affairs","li","Overview"
"https://pec.ac.in/faculty-affairs","a","Overview"
"https://pec.ac.in/faculty-affairs","li","Research Groups"
"https://pec.ac.in/faculty-affairs","a","Research Groups"
"https://pec.ac.in/faculty-affairs","li","Sponsored Research"
"https://pec.ac.in/faculty-affairs","a","Sponsored Research"
"https://pec.ac.in/faculty-affairs","li","In-House Projects"
"https://pec.ac.in/faculty-affairs","a","In-House Projects"
"https://pec.ac.in/faculty-affairs","li","Consultancy"
"https://pec.ac.in/faculty-affairs","a","Consultancy"
"https://pec.ac.in/faculty-affairs","li","Courses and Conferences"
"https://pec.ac.in/faculty-affairs","a","Courses and Conferences"
"https://pec.ac.in/faculty-affairs","li","Young Research Fellows Programme"
"https://pec.ac.in/faculty-affairs","a","Young Research Fellows Programme"
"https://pec.ac.in/faculty-affairs","li","Norms and Forms"
"https://pec.ac.in/faculty-affairs","a","Norms and Forms"
"https://pec.ac.in/faculty-affairs","li","Contacts"
"https://pec.ac.in/faculty-affairs","a","Contacts"
"https://pec.ac.in/faculty-affairs","li","Campus Life Students Facilities Online Fee Payment"
"https://pec.ac.in/faculty-affairs","a","Campus Life"
"https://pec.ac.in/faculty-affairs","li","Students"
"https://pec.ac.in/faculty-affairs","a","Students"
"https://pec.ac.in/faculty-affairs","li","Facilities"
"https://pec.ac.in/faculty-affairs","a","Facilities"
"https://pec.ac.in/faculty-affairs","li","Online Fee Payment"
"https://pec.ac.in/faculty-affairs","a","Online Fee Payment"
"https://pec.ac.in/faculty-affairs","a","-A"
"https://pec.ac.in/faculty-affairs","a","A"
"https://pec.ac.in/faculty-affairs","a","+A"
"https://pec.ac.in/faculty-affairs","h3","Institute"
"https://pec.ac.in/faculty-affairs","li","Institute"
"https://pec.ac.in/faculty-affairs","a","Institute"
"https://pec.ac.in/faculty-affairs","li","History"
"https://pec.ac.in/faculty-affairs","a","History"
"https://pec.ac.in/faculty-affairs","li","Vision & Mission"
"https://pec.ac.in/faculty-affairs","a","Vision & Mission"
"https://pec.ac.in/faculty-affairs","li","Campus"
"https://pec.ac.in/faculty-affairs","a","Campus"
"https://pec.ac.in/faculty-affairs","li","Location"
"https://pec.ac.in/faculty-affairs","a","Location"
"https://pec.ac.in/faculty-affairs","li","Top Stories"
"https://pec.ac.in/faculty-affairs","a","Top Stories"
"https://pec.ac.in/faculty-affairs","li","PEC Anthem"
"https://pec.ac.in/faculty-affairs","a","PEC Anthem"
"https://pec.ac.in/faculty-affairs","li","News & Events"
"https://pec.ac.in/faculty-affairs","a","News & Events"
"https://pec.ac.in/faculty-affairs","li","Rules, Guidelines & Forms"
"https://pec.ac.in/faculty-affairs","a","Rules, Guidelines & Forms"
"https://pec.ac.in/faculty-affairs","li","Office Orders"
"https://pec.ac.in/faculty-affairs","a","Office Orders"
"https://pec.ac.in/faculty-affairs","li","Tenders and Quotations"
"https://pec.ac.in/faculty-affairs","a","Tenders and Quotations"
"https://pec.ac.in/faculty-affairs","li","Job Openings"
