"TEXT","URL"
"Skip to main content","https://pec.ac.in/#main-content"
"Webmail","https://pec.ac.in/institute/email-services"
"Jobs","https://pec.ac.in/jobs"
"Tenders","https://pec.ac.in/tenders"
"Office Orders","https://pec.ac.in/office-orders"
"NIRF","https://pec.ac.in/nirf-data-20"
"RTI","https://pec.ac.in/node/549"
"Placements","https://pec.ac.in/tnp/about-cell"
"Contact Us","https://pec.ac.in/institute-functionaries"
"Institute","https://pec.ac.in/institute"
"History","https://pec.ac.in/history"
"Vision & Mission","https://pec.ac.in/vision"
"Campus","https://pec.ac.in/campus"
"Location","https://pec.ac.in/location"
"News and Events","https://pec.ac.in/all_events"
"Balance Sheets","https://pec.ac.in/balance-sheets"
"Faculty Affairs","https://pec.ac.in/faculty-affairs"
"IQAC Reports","https://pec.ac.in/institute/iqac-reports"
"Administration","https://pec.ac.in/administration"
"Board Of Governors","https://pec.ac.in/board-of-governors"
"Chairman, Board of Governors","https://pec.ac.in/chairman-bog"
"Director","https://pec.ac.in/director"
"Senate Members","https://pec.ac.in/senate-members"
"Building & Works Committee","https://pec.ac.in/building-works-committee"
"Finance Committee","https://pec.ac.in/finance-committee"
"Grievance Redressal Committee","https://pec.ac.in/grievance-redressal-committee"
"Minutes of Meetings","https://pec.ac.in/minutes-meetings"
"Programmes","https://pec.ac.in/programmes"
"Undergraduate","https://pec.ac.in/programmes/ug/structure"
"Postgraduate","https://pec.ac.in/programmes/pg/structure"
"Doctorate","https://pec.ac.in/programmes/phd"
"Academic Support for Students","https://pec.ac.in/programmes/student-support"
"Accreditation","https://pec.ac.in/programmes/accreditation"
"Scholarships","https://pec.ac.in/programmes/scholarships"
"IQAC Reports","https://pec.ac.in/iqac/aqar-reports"
"Admissions","https://pec.ac.in/admissions"
"Academic Units","https://pec.ac.in/academic-units"
"Departments","https://pec.ac.in/departments"
"Centres","https://pec.ac.in/centres"
"Research","https://pec.ac.in/research/overview"
"Research Groups","https://pec.ac.in/research-groups"
"Sponsored Research","https://pec.ac.in/sponsored-research"
"In-House Projects","https://pec.ac.in/house-projects"
"Consultancy","https://pec.ac.in/consultancy"
"Courses and Conferences","https://pec.ac.in/courses-and-conferences"
"Young Research Fellows Programme","https://pec.ac.in/yrf/about-programme"
"Norms and Forms","https://pec.ac.in/norms-and-forms"
"Contacts","https://pec.ac.in/research/contacts"
"Campus Life","https://pec.ac.in/campus-life"
"Students","https://pec.ac.in/current-students"
"Facilities","https://pec.ac.in/facilities"
"MoU signed between PEC and Bansal EnviroTech","https://pec.ac.in/events/mou-signed-between-pec-and-bansal-envirotech"
"MoU signed between PEC and KISCO India Private Limited (KIPL)","https://pec.ac.in/events/mou-signed-between-pec-and-kisco-india-private-limited-kipl"
"Homecoming 2020: First Annual Alumni Meet","https://pec.ac.in/events/homecoming-2020-first-annual-alumni-meet"
"Siemens Center of Excellence Inaugurated at PEC","https://pec.ac.in/events/siemens-center-excellence-inaugurated-pec"
"Nominations are invited for Distinguished Alumnus Award and Young Alumnus Award 2020. The nomination process closes on 30th September 2020.","https://pec.ac.in/donations/distinguished-alumnus-award"
"Oldest Alum at Homecoming: 2020","https://pec.ac.in/events/oldest-alum-attendance-homecoming-2020"
"MOU Between PEC and PEDA","https://pec.ac.in/events/mou-signed-between-pec-and-peda"
"98th Foundation Day","https://pec.ac.in/events/98th-foundation-day"
"One week STC on Micro Manufacturing from 4th to 8th January, 2021","https://pec.ac.in/sites/default/files/uploads/events/STC-MMCO-2021.pdf"
"Manual to Access pec.edu.in Email ID","https://pec.ac.in/sites/default/files/uploads/events/Email_Manual.pdf"
"As a precautionary measure against the spread of Corona Virus, teaching shall remain suspended in the institute indefinitely.","https://pec.ac.in/sites/default/files/uploads/events/corona_virus_urgent_notice.pdf"
"Contribute to Covid Emergency Funds","https://pec.ac.in/donations/"
"Rolling Advertisement for the Temporary Engagement of Faculty Positions at the level of Assistant Professor on contract for three years.","https://pec.ac.in/jobs/job-19-7-18/details"
"Description, Purpose and Guidelines of the Voyager Program","https://pec.ac.in/events/voyager-program-details"
"Dr. Sanjeev Kumar has received the India 2020 Top Cited Paper Award","https://pec.ac.in/events/dr-sanjeev-kumar-pec-india-2020-top-cited-paper-award"
"Online Short Term Course (STC) on Smart Functional Materials for Emerging Applications","https://pec.ac.in/events/online-short-term-course-stc-smart-functional-materials-emerging-applications"
"Webinar on ANSYS High Frequency Application in 5G Antenna","https://pec.ac.in/events/webinar-ansys-high-frequency-application-5g-antenna"
"Two Days Workshop on Advanced Functional Materials (WAFM-2020)","https://pec.ac.in/events/two-days-workshop-advanced-functional-materials-wafm-2020"
"Online Short Term Course on Nanotechnology for Electronic and Photonic Devices (NANODEV-2020)","https://pec.ac.in/events/online-short-term-course-nanotechnology-electronic-and-photonic-devices-nanodev-2020"
"Web Development & Programming the IoT","https://pec.ac.in/events/six-weeks-workshop-web-development-introduction-programming-internet-things-iot"
"Space Flight: Challenges & Opportunities","https://pec.ac.in/events/kalpana-chawla-memorial-lecture-national-seminar"
"Collaborations","https://pec.ac.in/coe/collaborations"
"Time Tables","https://pec.ac.in/current-students/time-tables"
"Examination","https://pec.ac.in/current-students/examination"
"Academic Calendar","https://pec.ac.in/academics/calendar"
"Library","https://pec.ac.in/library"
"Computer Centre","https://pec.ac.in/computer-centre"
"Sports","https://pec.ac.in/Sports"
"Hostels","https://pec.ac.in/hostels"
"Medical Facility","https://pec.ac.in/medical-facilities"
"Workshops","https://pec.ac.in/workshops"
"Multimedia","https://pec.ac.in/multimedia"
"Brochure & Prospectus","https://pec.ac.in/prospectus"
"Sexual Harassment Complaints","https://pec.ac.in/institute/sexual-harassment-complaints-committee"
"Website Credits","https://pec.ac.in/credits"
"Web Editor","https://pec.ac.in/web_editor"
"Anti-Ragging","https://pec.ac.in/anti-ragging"
"Privacy Statement","https://pec.ac.in/privacy-policy"
"Report Copyright Infringement","https://pec.ac.in/reporting-copyright-infringement"
"Skip to main content","https://pec.ac.in/institute/email-services#main-content"
"Top Stories","https://pec.ac.in/top-stories"
"PEC Anthem","https://pec.ac.in/pec-anthem"
"Rules, Guidelines & Forms","https://pec.ac.in/rules-guidelines-forms"
"Quick Links","https://pec.ac.in/institute/email-services#0"
"Skip to main content","https://pec.ac.in/jobs#main-content"
"Quick Links","https://pec.ac.in/jobs#0"
"Click Here to View Details","https://pec.ac.in/jobs/job-18-8-20"
"Archive of Previous job Openings","https://pec.ac.in/jobs/archive"
"Skip to main content","https://pec.ac.in/tenders#main-content"
"Quick Links","https://pec.ac.in/tenders#0"
"Last Date","https://pec.ac.in/tenders?field_tenders_quotations_auction_value=&order=field_last_date&sort=asc"
"Download Tender","https://pec.ac.in/sites/default/files/uploads/tenders/tender_cc_7-9-20.pdf"
"Archive of Previous Tenders","https://pec.ac.in/tenders/archive"
"Skip to main content","https://pec.ac.in/office-orders#main-content"
"Quick Links","https://pec.ac.in/office-orders#0"
"Download Office Order","https://pec.ac.in/sites/default/files/office_orders/notice-1-9-20.PDF"
"Download Office Order","https://pec.ac.in/sites/default/files/office_orders/office_order_1-9-2020.pdf"
"Skip to main content","https://pec.ac.in/nirf-data-20#main-content"
"Quick Links","https://pec.ac.in/nirf-data-20#0"
"Click Here to Download Data Submitted for Participation in National Institutional Ranking Framework (NIRF), India Rankings 2020","https://pec.ac.in/sites/default/files/uploads/nirf_2019-20.pdf"
"Skip to main content","https://pec.ac.in/node/549#main-content"
"RTI","https://pec.ac.in/rti"
"Quick Links","https://pec.ac.in/node/549#0"
"Right to information","https://pec.ac.in/sites/default/files/uploads/RTI_mandatory_Info_07-01-2020.pdf"
"Download the performa of Appeal","https://pec.ac.in/sites/default/files/uploads/rightinfo_12_form.pdf"
"Third party audit report of RTI compliance","https://pec.ac.in/sites/default/files/uploads/audit_report_rti.pdf"
"Skip to main content","https://pec.ac.in/tnp/about-cell#main-content"
"Invitation","https://pec.ac.in/tnp/invitation"
"Message from the Director","https://pec.ac.in/tnp/message-director"
"Message from the Head","https://pec.ac.in/tnp/message-tpo"
"Placement Procedure","https://pec.ac.in/tnp/placement-procedure"
"Placement Policy","https://pec.ac.in/tnp/policy"
"Placement Statistics","https://pec.ac.in/tnp/placement-information"
"Why Recruit @ PEC?","https://pec.ac.in/tnp/why-recruit-pec"
"Downloads","https://pec.ac.in/tnp/downloads"
"Facilities for Recruiters","https://pec.ac.in/tnp/facilities-recruiters"
"Past Recruiters","https://pec.ac.in/past-recruiters"
"How to Reach PEC","https://pec.ac.in/how-reach-pec"
"Testimonials from Companies","https://pec.ac.in/tnp/testimonials"
"Student Placement Committee","https://pec.ac.in/node/370"
"Important Links","https://pec.ac.in/tpo/important-links"
"FAQ's","https://pec.ac.in/tnp/frequently-asked-questions"
"Contact Us","https://pec.ac.in/tnp/contact-us"
"Quick Links","https://pec.ac.in/tnp/about-cell#0"
"Skip to main content","https://pec.ac.in/institute-functionaries#main-content"
